Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.000501826,-0.0281407237052917,-0.547738676890731,
,,,-0.00049981,-0.0442211255431175,-0.547738676890731,
,,,-0.000497794,-0.0281407237052917,-0.547738676890731,
,,,-0.000495778,-0.0281407237052917,-0.547738676890731,
,,,-0.000493762,-0.0281407237052917,-0.547738676890731,
,,,-0.000491746,-0.0442211255431175,-0.547738676890731,
,,,-0.00048973,-0.0442211255431175,-0.547738676890731,
,,,-0.000487714,-0.0281407237052917,-0.547738676890731,
,,,-0.000485698,-0.0281407237052917,-0.547738676890731,
,,,-0.000483682,-0.0281407237052917,-0.547738676890731,
,,,-0.000481666,-0.0281407237052917,-0.547738676890731,
,,,-0.00047965,-0.0281407237052917,-0.547738676890731,
,,,-0.000477634,-0.0281407237052917,-0.547738676890731,
,,,-0.000475618,-0.0281407237052917,-0.547738676890731,
,,,-0.000473602,-0.0281407237052917,-0.547738676890731,
,,,-0.000471586,-0.0281407237052917,-0.527638174593449,
,,,-0.00046957,-0.0281407237052917,-0.547738676890731,
,,,-0.000467554,-0.0281407237052917,-0.547738676890731,
,,,-0.000465538,-0.0281407237052917,-0.547738676890731,
,,,-0.000463522,-0.0281407237052917,-0.547738676890731,
,,,-0.000461506,-0.0281407237052917,-0.547738676890731,
,,,-0.00045949,-0.0281407237052917,-0.547738676890731,
,,,-0.000457474,-0.0281407237052917,-0.547738676890731,
,,,-0.000455458,-0.0281407237052917,-0.547738676890731,
,,,-0.000453442,-0.0281407237052917,-0.547738676890731,
,,,-0.000451426,-0.0281407237052917,-0.547738676890731,
,,,-0.00044941,-0.0281407237052917,-0.547738676890731,
,,,-0.000447394,-0.0281407237052917,-0.527638174593449,
,,,-0.000445378,-0.0281407237052917,-0.547738676890731,
,,,-0.000443362,-0.0281407237052917,-0.547738676890731,
,,,-0.000441346,-0.0281407237052917,-0.547738676890731,
,,,-0.00043933,-0.0281407237052917,-0.547738676890731,
,,,-0.000437314,-0.0281407237052917,-0.547738676890731,
,,,-0.000435298,-0.0281407237052917,-0.547738676890731,
,,,-0.000433282,-0.0281407237052917,-0.547738676890731,
,,,-0.000431266,-0.0281407237052917,-0.547738676890731,
,,,-0.00042925,-0.0281407237052917,-0.527638174593449,
,,,-0.000427234,-0.0281407237052917,-0.547738676890731,
,,,-0.000425218,-0.0281407237052917,-0.547738676890731,
,,,-0.000423202,-0.0281407237052917,-0.547738676890731,
,,,-0.000421186,-0.0281407237052917,-0.547738676890731,
,,,-0.00041917,-0.0281407237052917,-0.547738676890731,
,,,-0.000417154,-0.0281407237052917,-0.547738676890731,
,,,-0.000415138,-0.0281407237052917,-0.547738676890731,
,,,-0.000413122,-0.0281407237052917,-0.547738676890731,
,,,-0.000411106,-0.0281407237052917,-0.547738676890731,
,,,-0.00040909,-0.0281407237052917,-0.527638174593449,
,,,-0.000407074,-0.0442211255431175,-0.547738676890731,
,,,-0.000405058,-0.0442211255431175,-0.547738676890731,
,,,-0.000403042,-0.0281407237052917,-0.547738676890731,
,,,-0.000401026,-0.0442211255431175,-0.547738676890731,
,,,-0.00039901,-0.0281407237052917,-0.547738676890731,
,,,-0.000396994,-0.0442211255431175,-0.547738676890731,
,,,-0.000394978,-0.0281407237052917,-0.547738676890731,
,,,-0.000392962,-0.0281407237052917,-0.547738676890731,
,,,-0.000390946,-0.0281407237052917,-0.547738676890731,
,,,-0.00038893,-0.0281407237052917,-0.547738676890731,
,,,-0.000386914,-0.0281407237052917,-0.547738676890731,
,,,-0.000384898,-0.0281407237052917,-0.547738676890731,
,,,-0.000382882,-0.0281407237052917,-0.547738676890731,
,,,-0.000380866,-0.0281407237052917,-0.547738676890731,
,,,-0.00037885,-0.0281407237052917,-0.547738676890731,
,,,-0.000376834,-0.0281407237052917,-0.547738676890731,
,,,-0.000374818,-0.0281407237052917,-0.547738676890731,
,,,-0.000372802,-0.0281407237052917,-0.547738676890731,
,,,-0.000370786,-0.0281407237052917,-0.547738676890731,
,,,-0.00036877,-0.0281407237052917,-0.547738676890731,
,,,-0.000366754,-0.0281407237052917,-0.547738676890731,
,,,-0.000364738,-0.0281407237052917,-0.547738676890731,
,,,-0.000362722,-0.0281407237052917,-0.547738676890731,
,,,-0.000360706,-0.0281407237052917,-0.547738676890731,
,,,-0.00035869,-0.0281407237052917,-0.547738676890731,
,,,-0.000356674,-0.0281407237052917,-0.547738676890731,
,,,-0.000354658,-0.0281407237052917,-0.547738676890731,
,,,-0.000352642,-0.0281407237052917,-0.547738676890731,
,,,-0.000350626,-0.0281407237052917,-0.547738676890731,
,,,-0.00034861,-0.0281407237052917,-0.547738676890731,
,,,-0.000346594,-0.0281407237052917,-0.547738676890731,
,,,-0.000344578,-0.0281407237052917,-0.547738676890731,
,,,-0.000342562,-0.0281407237052917,-0.547738676890731,
,,,-0.000340546,-0.0281407237052917,-0.547738676890731,
,,,-0.00033853,-0.0281407237052917,-0.527638174593449,
,,,-0.000336514,-0.0281407237052917,-0.547738676890731,
,,,-0.000334498,-0.0281407237052917,-0.527638174593449,
,,,-0.000332482,-0.0442211255431175,-0.527638174593449,
,,,-0.000330466,-0.0281407237052917,-0.547738676890731,
,,,-0.00032845,-0.0281407237052917,-0.547738676890731,
,,,-0.000326434,-0.0281407237052917,-0.547738676890731,
,,,-0.000324418,-0.0281407237052917,-0.547738676890731,
,,,-0.000322402,-0.0281407237052917,-0.547738676890731,
,,,-0.000320386,-0.0281407237052917,-0.527638174593449,
,,,-0.00031837,-0.0442211255431175,-0.527638174593449,
,,,-0.000316354,-0.0281407237052917,-0.547738676890731,
,,,-0.000314338,-0.0281407237052917,-0.547738676890731,
,,,-0.000312322,-0.0281407237052917,-0.547738676890731,
,,,-0.000310306,-0.0281407237052917,-0.547738676890731,
,,,-0.00030829,-0.0281407237052917,-0.547738676890731,
,,,-0.000306274,-0.0281407237052917,-0.547738676890731,
,,,-0.000304258,-0.0281407237052917,-0.547738676890731,
,,,-0.000302242,-0.0281407237052917,-0.527638174593449,
,,,-0.000300226,-0.0281407237052917,-0.547738676890731,
,,,-0.00029821,-0.0281407237052917,-0.567839179188013,
,,,-0.000296194,-0.0281407237052917,-0.547738676890731,
,,,-0.000294178,-0.0281407237052917,-0.547738676890731,
,,,-0.000292162,-0.0281407237052917,-0.527638174593449,
,,,-0.000290146,-0.0281407237052917,-0.547738676890731,
,,,-0.00028813,-0.0281407237052917,-0.547738676890731,
,,,-0.000286114,-0.0281407237052917,-0.547738676890731,
,,,-0.000284098,-0.0281407237052917,-0.527638174593449,
,,,-0.000282082,-0.0281407237052917,-0.547738676890731,
,,,-0.000280066,-0.0442211255431175,-0.547738676890731,
,,,-0.00027805,-0.0281407237052917,-0.547738676890731,
,,,-0.000276034,-0.0281407237052917,-0.547738676890731,
,,,-0.000274018,-0.0281407237052917,-0.547738676890731,
,,,-0.000272002,-0.0281407237052917,-0.547738676890731,
,,,-0.000269986,-0.0442211255431175,-0.547738676890731,
,,,-0.00026797,-0.0281407237052917,-0.547738676890731,
,,,-0.000265954,-0.0442211255431175,-0.547738676890731,
,,,-0.000263938,-0.0281407237052917,-0.547738676890731,
