x-axis,F1
second,Volt
-1.560937500000e-007,-8.07843e-002
-1.555937500000e-007,-8.07843e-002
-1.550937500000e-007,-8.07843e-002
-1.545937500000e-007,-7.88312e-002
-1.540937500000e-007,-7.88312e-002
-1.535937500000e-007,-7.88312e-002
-1.530937500000e-007,-8.07843e-002
-1.525937500000e-007,-8.07843e-002
-1.520937500000e-007,-8.07843e-002
-1.515937500000e-007,-8.27374e-002
-1.510937500000e-007,-8.27374e-002
-1.505937500000e-007,-8.27374e-002
-1.500937500000e-007,-8.27374e-002
-1.495937500000e-007,-8.27374e-002
-1.490937500000e-007,-8.27374e-002
-1.485937500000e-007,-8.27374e-002
-1.480937500000e-007,-8.46906e-002
-1.475937500000e-007,-8.46906e-002
-1.470937500000e-007,-8.46906e-002
-1.465937500000e-007,-8.27374e-002
-1.460937500000e-007,-8.27374e-002
-1.455937500000e-007,-8.07843e-002
-1.450937500000e-007,-8.27374e-002
-1.445937500000e-007,-8.27374e-002
-1.440937500000e-007,-8.07843e-002
-1.435937500000e-007,-7.88312e-002
-1.430937500000e-007,-8.07843e-002
-1.425937500000e-007,-8.07843e-002
-1.420937500000e-007,-7.88312e-002
-1.415937500000e-007,-7.88312e-002
-1.410937500000e-007,-8.07843e-002
-1.405937500000e-007,-8.07843e-002
-1.400937500000e-007,-8.07843e-002
-1.395937500000e-007,-8.27374e-002
-1.390937500000e-007,-8.27374e-002
-1.385937500000e-007,-8.46906e-002
-1.380937500000e-007,-8.27374e-002
-1.375937500000e-007,-8.46906e-002
-1.370937500000e-007,-8.27374e-002
-1.365937500000e-007,-8.27374e-002
-1.360937500000e-007,-7.88312e-002
-1.355937500000e-007,-7.68781e-002
-1.350937500000e-007,-7.88312e-002
-1.345937500000e-007,-7.88312e-002
-1.340937500000e-007,-8.07843e-002
-1.335937500000e-007,-8.07843e-002
-1.330937500000e-007,-8.07843e-002
-1.325937500000e-007,-8.07843e-002
-1.320937500000e-007,-8.07843e-002
-1.315937500000e-007,-8.27374e-002
-1.310937500000e-007,-8.07843e-002
-1.305937500000e-007,-8.27374e-002
-1.300937500000e-007,-8.07843e-002
-1.295937500000e-007,-8.07843e-002
-1.290937500000e-007,-8.07843e-002
-1.285937500000e-007,-8.07843e-002
-1.280937500000e-007,-8.07843e-002
-1.275937500000e-007,-8.07843e-002
-1.270937500000e-007,-8.07843e-002
-1.265937500000e-007,-8.27374e-002
-1.260937500000e-007,-7.88312e-002
-1.255937500000e-007,-7.88312e-002
-1.250937500000e-007,-7.88312e-002
-1.245937500000e-007,-7.88312e-002
-1.240937500000e-007,-7.88312e-002
-1.235937500000e-007,-7.88312e-002
-1.230937500000e-007,-8.07843e-002
-1.225937500000e-007,-7.88312e-002
-1.220937500000e-007,-8.07843e-002
-1.215937500000e-007,-8.07843e-002
-1.210937500000e-007,-8.07843e-002
-1.205937500000e-007,-8.07843e-002
-1.200937500000e-007,-8.27374e-002
-1.195937500000e-007,-8.27374e-002
-1.190937500000e-007,-8.07843e-002
-1.185937500000e-007,-8.27374e-002
-1.180937500000e-007,-8.46906e-002
-1.175937500000e-007,-8.27374e-002
-1.170937500000e-007,-8.46906e-002
-1.165937500000e-007,-8.07843e-002
-1.160937500000e-007,-8.07843e-002
-1.155937500000e-007,-8.07843e-002
-1.150937500000e-007,-7.88312e-002
-1.145937500000e-007,-8.07843e-002
-1.140937500000e-007,-7.88312e-002
-1.135937500000e-007,-7.88312e-002
-1.130937500000e-007,-7.88312e-002
-1.125937500000e-007,-7.68781e-002
-1.120937500000e-007,-8.07843e-002
-1.115937500000e-007,-7.88312e-002
-1.110937500000e-007,-8.07843e-002
-1.105937500000e-007,-8.07843e-002
-1.100937500000e-007,-8.07843e-002
-1.095937500000e-007,-8.27374e-002
-1.090937500000e-007,-8.27374e-002
-1.085937500000e-007,-8.27374e-002
-1.080937500000e-007,-7.88312e-002
-1.075937500000e-007,-8.07843e-002
-1.070937500000e-007,-8.27374e-002
-1.065937500000e-007,-8.27374e-002
-1.060937500000e-007,-8.07843e-002
-1.055937500000e-007,-8.27374e-002
-1.050937500000e-007,-8.27374e-002
-1.045937500000e-007,-8.46906e-002
-1.040937500000e-007,-8.46906e-002
-1.035937500000e-007,-8.27374e-002
-1.030937500000e-007,-8.46906e-002
-1.025937500000e-007,-8.27374e-002
-1.020937500000e-007,-8.27374e-002
-1.015937500000e-007,-8.46906e-002
-1.010937500000e-007,-8.46906e-002
-1.005937500000e-007,-8.27374e-002
-1.000937500000e-007,-8.27374e-002
-9.959375000000e-008,-8.07843e-002
-9.909375000000e-008,-8.07843e-002
-9.859375000000e-008,-7.88312e-002
-9.809375000000e-008,-8.07843e-002
-9.759375000000e-008,-7.68781e-002
-9.709375000000e-008,-7.49249e-002
-9.659375000000e-008,-6.90656e-002
-9.609375000000e-008,-6.51593e-002
-9.559375000000e-008,-5.53937e-002
-9.509375000000e-008,-4.56281e-002
-9.459375000000e-008,-3.19562e-002
-9.409375000000e-008,-1.63312e-002
-9.359375000000e-008,-7.06196e-004
-9.309375000000e-008, 2.46844e-002
-9.259375000000e-008, 5.00751e-002
-9.209375000000e-008, 7.93719e-002
-9.159375000000e-008, 1.16481e-001
-9.109375000000e-008, 1.55544e-001
-9.059375000000e-008, 1.96559e-001
-9.009375000000e-008, 2.43434e-001
-8.959375000000e-008, 2.92263e-001
-8.909375000000e-008, 3.44997e-001
-8.859375000000e-008, 3.97731e-001
-8.809375000000e-008, 4.54372e-001
-8.759375000000e-008, 5.11013e-001
-8.709375000000e-008, 5.69606e-001
-8.659375000000e-008, 6.24294e-001
-8.609375000000e-008, 6.78981e-001
-8.559375000000e-008, 7.27809e-001
-8.509375000000e-008, 7.80544e-001
-8.459375000000e-008, 8.27419e-001
-8.409375000000e-008, 8.74294e-001
-8.359375000000e-008, 9.25075e-001
-8.309375000000e-008, 9.77809e-001
-8.259375000000e-008, 1.03054e+000
-8.209375000000e-008, 1.09304e+000
-8.159375000000e-008, 1.15945e+000
-8.109375000000e-008, 1.23758e+000
-8.059375000000e-008, 1.32937e+000
-8.009375000000e-008, 1.43875e+000
-7.959375000000e-008, 1.56179e+000
-7.909375000000e-008, 1.70437e+000
-7.859375000000e-008, 1.86258e+000
-7.809375000000e-008, 2.04422e+000
-7.759375000000e-008, 2.23758e+000
-7.709375000000e-008, 2.45242e+000
-7.659375000000e-008, 2.67898e+000
-7.609375000000e-008, 2.91726e+000
-7.559375000000e-008, 3.16336e+000
-7.509375000000e-008, 3.41531e+000
-7.459375000000e-008, 3.66336e+000
-7.409375000000e-008, 3.90945e+000
-7.359375000000e-008, 4.14578e+000
-7.309375000000e-008, 4.37039e+000
-7.259375000000e-008, 4.58133e+000
-7.209375000000e-008, 4.77078e+000
-7.159375000000e-008, 4.94265e+000
-7.109375000000e-008, 5.08718e+000
-7.059375000000e-008, 5.21023e+000
-7.009375000000e-008, 5.30984e+000
-6.959375000000e-008, 5.38797e+000
-6.909375000000e-008, 5.44851e+000
-6.859375000000e-008, 5.48953e+000
-6.809375000000e-008, 5.51883e+000
-6.759375000000e-008, 5.53445e+000
-6.709375000000e-008, 5.54031e+000
-6.659375000000e-008, 5.54031e+000
-6.609375000000e-008, 5.53836e+000
-6.559375000000e-008, 5.53250e+000
-6.509375000000e-008, 5.52664e+000
-6.459375000000e-008, 5.52078e+000
-6.409375000000e-008, 5.51883e+000
-6.359375000000e-008, 5.51492e+000
-6.309375000000e-008, 5.51492e+000
-6.259375000000e-008, 5.51687e+000
-6.209375000000e-008, 5.52273e+000
-6.159375000000e-008, 5.52664e+000
-6.109375000000e-008, 5.52664e+000
-6.059375000000e-008, 5.52859e+000
-6.009375000000e-008, 5.52859e+000
-5.959375000000e-008, 5.52273e+000
-5.909375000000e-008, 5.51492e+000
-5.859375000000e-008, 5.50515e+000
-5.809375000000e-008, 5.49148e+000
-5.759375000000e-008, 5.47390e+000
-5.709375000000e-008, 5.45633e+000
-5.659375000000e-008, 5.43484e+000
-5.609375000000e-008, 5.40945e+000
-5.559375000000e-008, 5.38601e+000
-5.509375000000e-008, 5.36062e+000
-5.459375000000e-008, 5.33328e+000
-5.409375000000e-008, 5.30789e+000
-5.359375000000e-008, 5.28250e+000
-5.309375000000e-008, 5.25711e+000
-5.259375000000e-008, 5.23367e+000
-5.209375000000e-008, 5.21023e+000
-5.159375000000e-008, 5.18875e+000
-5.109375000000e-008, 5.16726e+000
-5.059375000000e-008, 5.14578e+000
-5.009375000000e-008, 5.12820e+000
-4.959375000000e-008, 5.11062e+000
-4.909375000000e-008, 5.09695e+000
-4.859375000000e-008, 5.09109e+000
-4.809375000000e-008, 5.08523e+000
-4.759375000000e-008, 5.08328e+000
-4.709375000000e-008, 5.08523e+000
-4.659375000000e-008, 5.09109e+000
-4.609375000000e-008, 5.09695e+000
-4.559375000000e-008, 5.10281e+000
-4.509375000000e-008, 5.11258e+000
-4.459375000000e-008, 5.12039e+000
-4.409375000000e-008, 5.13015e+000
-4.359375000000e-008, 5.13992e+000
-4.309375000000e-008, 5.14773e+000
-4.259375000000e-008, 5.15750e+000
-4.209375000000e-008, 5.16336e+000
-4.159375000000e-008, 5.16531e+000
-4.109375000000e-008, 5.17117e+000
-4.059375000000e-008, 5.17508e+000
-4.009375000000e-008, 5.17898e+000
-3.959375000000e-008, 5.18093e+000
-3.909375000000e-008, 5.18289e+000
-3.859375000000e-008, 5.18289e+000
-3.809375000000e-008, 5.18289e+000
-3.759375000000e-008, 5.17898e+000
-3.709375000000e-008, 5.17508e+000
-3.659375000000e-008, 5.17117e+000
-3.609375000000e-008, 5.16336e+000
-3.559375000000e-008, 5.15750e+000
-3.509375000000e-008, 5.14968e+000
-3.459375000000e-008, 5.14187e+000
-3.409375000000e-008, 5.13406e+000
-3.359375000000e-008, 5.12039e+000
-3.309375000000e-008, 5.10867e+000
-3.259375000000e-008, 5.09500e+000
-3.209375000000e-008, 5.08328e+000
-3.159375000000e-008, 5.06765e+000
-3.109375000000e-008, 5.05398e+000
-3.059375000000e-008, 5.03836e+000
-3.009375000000e-008, 5.02859e+000
-2.959375000000e-008, 5.01687e+000
-2.909375000000e-008, 5.00711e+000
-2.859375000000e-008, 5.00125e+000
-2.809375000000e-008, 4.99148e+000
-2.759375000000e-008, 4.98758e+000
-2.709375000000e-008, 4.98562e+000
-2.659375000000e-008, 4.98367e+000
-2.609375000000e-008, 4.98367e+000
-2.559375000000e-008, 4.98172e+000
-2.509375000000e-008, 4.97781e+000
-2.459375000000e-008, 4.97390e+000
-2.409375000000e-008, 4.97195e+000
-2.359375000000e-008, 4.97195e+000
-2.309375000000e-008, 4.97390e+000
-2.259375000000e-008, 4.97781e+000
-2.209375000000e-008, 4.98172e+000
-2.159375000000e-008, 4.98367e+000
-2.109375000000e-008, 4.98562e+000
-2.059375000000e-008, 4.98367e+000
-2.009375000000e-008, 4.98172e+000
-1.959375000000e-008, 4.97781e+000
-1.909375000000e-008, 4.97390e+000
-1.859375000000e-008, 4.97195e+000
-1.809375000000e-008, 4.97000e+000
-1.759375000000e-008, 4.96804e+000
-1.709375000000e-008, 4.96609e+000
-1.659375000000e-008, 4.96218e+000
-1.609375000000e-008, 4.96023e+000
-1.559375000000e-008, 4.95828e+000
-1.509375000000e-008, 4.95437e+000
-1.459375000000e-008, 4.95242e+000
-1.409375000000e-008, 4.95047e+000
-1.359375000000e-008, 4.94851e+000
-1.309375000000e-008, 4.94851e+000
-1.259375000000e-008, 4.94461e+000
-1.209375000000e-008, 4.94656e+000
-1.159375000000e-008, 4.94461e+000
-1.109375000000e-008, 4.94265e+000
-1.059375000000e-008, 4.93875e+000
-1.009375000000e-008, 4.93484e+000
-9.593750000000e-009, 4.93093e+000
-9.093750000000e-009, 4.92312e+000
-8.593750000000e-009, 4.91726e+000
-8.093750000000e-009, 4.90750e+000
-7.593750000000e-009, 4.89773e+000
-7.093750000000e-009, 4.88797e+000
-6.593750000000e-009, 4.87625e+000
-6.093750000000e-009, 4.86258e+000
-5.593750000000e-009, 4.84890e+000
-5.093750000000e-009, 4.83718e+000
-4.593750000000e-009, 4.82351e+000
-4.093750000000e-009, 4.81179e+000
-3.593750000000e-009, 4.79812e+000
-3.093750000000e-009, 4.78836e+000
-2.593750000000e-009, 4.77859e+000
-2.093750000000e-009, 4.76883e+000
-1.593750000000e-009, 4.75906e+000
-1.093750000000e-009, 4.75125e+000
-5.937500000000e-010, 4.74539e+000
-9.374999999999e-011, 4.74148e+000
4.062500000000e-010, 4.73953e+000
9.062500000000e-010, 4.74148e+000
1.406250000000e-009, 4.74148e+000
1.906250000000e-009, 4.74343e+000
2.406250000000e-009, 4.74343e+000
2.906250000000e-009, 4.74734e+000
3.406250000000e-009, 4.75125e+000
3.906250000000e-009, 4.75515e+000
4.406250000000e-009, 4.76101e+000
4.906250000000e-009, 4.76492e+000
5.406250000000e-009, 4.76883e+000
5.906250000000e-009, 4.77273e+000
6.406250000000e-009, 4.77273e+000
6.906250000000e-009, 4.77664e+000
7.406250000000e-009, 4.77664e+000
7.906250000000e-009, 4.77664e+000
8.406250000000e-009, 4.77664e+000
8.906250000000e-009, 4.77664e+000
9.406250000000e-009, 4.77664e+000
9.906250000000e-009, 4.77273e+000
1.040625000000e-008, 4.76492e+000
1.090625000000e-008, 4.75906e+000
1.140625000000e-008, 4.74929e+000
1.190625000000e-008, 4.74148e+000
1.240625000000e-008, 4.73953e+000
1.290625000000e-008, 4.73367e+000
1.340625000000e-008, 4.73172e+000
1.390625000000e-008, 4.72586e+000
1.440625000000e-008, 4.71804e+000
1.490625000000e-008, 4.70828e+000
1.540625000000e-008, 4.69656e+000
1.590625000000e-008, 4.68679e+000
1.640625000000e-008, 4.67703e+000
1.690625000000e-008, 4.66922e+000
1.740625000000e-008, 4.66140e+000
1.790625000000e-008, 4.65554e+000
1.840625000000e-008, 4.64773e+000
1.890625000000e-008, 4.64187e+000
1.940625000000e-008, 4.63797e+000
1.990625000000e-008, 4.63601e+000
2.040625000000e-008, 4.63601e+000
2.090625000000e-008, 4.63797e+000
2.140625000000e-008, 4.63992e+000
2.190625000000e-008, 4.64383e+000
2.240625000000e-008, 4.64578e+000
2.290625000000e-008, 4.64578e+000
2.340625000000e-008, 4.64383e+000
2.390625000000e-008, 4.64187e+000
2.440625000000e-008, 4.64187e+000
2.490625000000e-008, 4.64383e+000
2.540625000000e-008, 4.64968e+000
2.590625000000e-008, 4.65164e+000
2.640625000000e-008, 4.65554e+000
2.690625000000e-008, 4.65750e+000
2.740625000000e-008, 4.65945e+000
2.790625000000e-008, 4.65945e+000
2.840625000000e-008, 4.65554e+000
2.890625000000e-008, 4.65164e+000
2.940625000000e-008, 4.64773e+000
2.990625000000e-008, 4.64187e+000
3.040625000000e-008, 4.63211e+000
3.090625000000e-008, 4.62234e+000
3.140625000000e-008, 4.61062e+000
3.190625000000e-008, 4.60086e+000
3.240625000000e-008, 4.58914e+000
3.290625000000e-008, 4.57547e+000
3.340625000000e-008, 4.56375e+000
3.390625000000e-008, 4.55398e+000
3.440625000000e-008, 4.54226e+000
3.490625000000e-008, 4.52859e+000
3.540625000000e-008, 4.52078e+000
3.590625000000e-008, 4.51101e+000
3.640625000000e-008, 4.50320e+000
3.690625000000e-008, 4.49343e+000
3.740625000000e-008, 4.48953e+000
3.790625000000e-008, 4.48367e+000
3.840625000000e-008, 4.47976e+000
3.890625000000e-008, 4.47976e+000
3.940625000000e-008, 4.47586e+000
3.990625000000e-008, 4.47781e+000
4.040625000000e-008, 4.47976e+000
4.090625000000e-008, 4.48172e+000
4.140625000000e-008, 4.48562e+000
4.190625000000e-008, 4.48953e+000
4.240625000000e-008, 4.49539e+000
4.290625000000e-008, 4.50320e+000
4.340625000000e-008, 4.50906e+000
4.390625000000e-008, 4.51687e+000
4.440625000000e-008, 4.52273e+000
4.490625000000e-008, 4.52859e+000
4.540625000000e-008, 4.53445e+000
4.590625000000e-008, 4.53836e+000
4.640625000000e-008, 4.54031e+000
4.690625000000e-008, 4.54031e+000
4.740625000000e-008, 4.53836e+000
4.790625000000e-008, 4.53640e+000
4.840625000000e-008, 4.53054e+000
4.890625000000e-008, 4.52664e+000
4.940625000000e-008, 4.52273e+000
4.990625000000e-008, 4.51687e+000
5.040625000000e-008, 4.50906e+000
5.090625000000e-008, 4.49929e+000
5.140625000000e-008, 4.49148e+000
5.190625000000e-008, 4.47976e+000
5.240625000000e-008, 4.47000e+000
5.290625000000e-008, 4.46023e+000
5.340625000000e-008, 4.45047e+000
5.390625000000e-008, 4.44265e+000
5.440625000000e-008, 4.43679e+000
5.490625000000e-008, 4.43093e+000
5.540625000000e-008, 4.42312e+000
