Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),2 (VOLT),3 (VOLT),,Time (s),M1,
Coup,,,-0.0005076,0.59293594781775,4.72479906538501,,-0.0005076,4.12819980084896,
BW,Off,,-0.000507504,0.585398259456269,4.71977394074202,,-0.000507504,4.13015292561613,
Inv,Off,,-0.000507408,0.59167966642417,4.71977394074202,,-0.000507408,4.12429355131462,
Imp,1M Ohm,,-0.000507312,0.59293594781775,4.71977394074202,,-0.000507312,4.12429355131462,
Trace Label,3,,-0.000507216,0.58665454084985,4.71977394074202,,-0.000507216,4.13015292561613,
Probe,10,,-0.00050712,0.58916710363701,4.72982419002801,,-0.00050712,4.13796542468481,
Skew,0 s,,-0.000507024,0.59167966642417,4.73987443931401,,-0.000507024,4.14577792375349,
,,,-0.000506928,0.58916710363701,4.71977394074202,,-0.000506928,4.12819980084896,
MATH,,,-0.000506832,0.58665454084985,4.71977394074202,,-0.000506832,4.13015292561613,
Ch 3-Ch 2,,,-0.000506736,0.59167966642417,4.71977394074202,,-0.000506736,4.12429355131462,
Scale,1 /,,-0.00050664,0.582885696669109,4.71977394074202,,-0.00050664,4.13405917515047,
Offset,2.0032 ,,-0.000506544,0.59293594781775,4.71977394074202,,-0.000506544,4.12429355131462,
,,,-0.000506448,0.59042338503059,4.72479906538501,,-0.000506448,4.13015292561613,
REFERENCE WAVEFORM,,,-0.000506352,0.584141978062689,4.7499246886,,-0.000506352,4.16335604665801,
TRIGGER,,,-0.000506256,0.581629415275529,4.73987443931401,,-0.000506256,4.15554354758933,
Sweep Mode,NORM,,-0.00050616,0.58791082224343,4.71977394074202,,-0.00050616,4.12819980084896,
Coup,DC,,-0.000506064,0.59293594781775,4.71977394074202,,-0.000506064,4.12429355131462,
Noise Rej,Off,,-0.000505968,0.59293594781775,4.71474881609902,,-0.000505968,4.11843417701311,
HF Rej,Off,,-0.000505872,0.58916710363701,4.71977394074202,,-0.000505872,4.12819980084896,
Holdoff,40.0 ns,,-0.000505776,0.584141978062689,4.71977394074202,,-0.000505776,4.1321060503833,
Mode,EDGE,,-0.00050568,0.577860571094789,4.71977394074202,,-0.00050568,4.13796542468481,
Source,CHAN2,,-0.000505584,0.59167966642417,4.70469856681302,,-0.000505584,4.11062167794444,
Slope,POS,,-0.000505488,0.58791082224343,4.71977394074202,,-0.000505488,4.12819980084896,
Level,-250 mV V,,-0.000505392,0.582885696669109,4.71977394074202,,-0.000505392,4.13405917515047,
,,,-0.000505296,0.58791082224343,4.754949813243,,-0.000505296,4.16335604665801,
HORIZONTAL,,,-0.0005052,0.584141978062689,4.71977394074202,,-0.0005052,4.1321060503833,
Mode,MAIN,,-0.000505104,0.585398259456269,4.73484931467101,,-0.000505104,4.14577792375349,
Ref,CENT,,-0.000505008,0.59293594781775,4.73484931467101,,-0.000505008,4.13796542468481,
Main Scale,6 µs/,,-0.000504912,0.59167966642417,4.71977394074202,,-0.000504912,4.12429355131462,
Main Delay,-480 µs,,-0.000504816,0.58791082224343,4.71977394074202,,-0.000504816,4.12819980084896,
,,,-0.00050472,0.59293594781775,4.71977394074202,,-0.00050472,4.12429355131462,
ACQUISITION,,,-0.000504624,0.585398259456269,4.71977394074202,,-0.000504624,4.13015292561613,
Mode,AVER,,-0.000504528,0.58791082224343,4.71977394074202,,-0.000504528,4.12819980084896,
RealTime,On,,-0.000504432,0.579116852488369,4.71977394074202,,-0.000504432,4.13796542468481,
Vectors,On,,-0.000504336,0.59293594781775,4.71977394074202,,-0.000504336,4.12429355131462,
Persistence,Off,,-0.00050424,0.58791082224343,4.71977394074202,,-0.00050424,4.12819980084896,
,,,-0.000504144,0.59293594781775,4.71977394074202,,-0.000504144,4.12429355131462,
MEASUREMENTS,,,-0.000504048,0.584141978062689,4.71977394074202,,-0.000504048,4.1321060503833,
