Instrument in Sequence,1 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Instrument in Sequence,3 - E3631A - ASRL3::INSTR,,,,,,,,,,
Start Time,2022-12-02 10:09:34.603,,,,,,,,,,
Stop Time,2022-12-02 10:26:23.634,,,,,,,,,,
,,,,,,,,,,,
Time,Step,3 - Set CH1 On/Off,3 - Set CH2 On/Off,3 - Sweep CH2 Voltage Setting,3 - Get CH2 Voltage Setting,3 - Get CH2 Current Measurement,3 - Sweep CH1 Voltage Setting,1 - Get Measurement Value,2 - Get Measurement Value,3 - Set CH1 On/Off,3 - Set CH2 On/Off ()
2022-12-02 10:12:13.869,66,,,1,,,0,-2.5264494E-09,-0.000184246986,,
2022-12-02 10:12:16.195,67,,,1,,,0.05,2.39900172E-09,0.0497429986,,
2022-12-02 10:12:18.458,68,,,1,,,0.1,7.51688736E-09,0.0993973539,,
2022-12-02 10:12:21.023,69,,,1,,,0.15,1.20769885E-08,0.1493145,,
2022-12-02 10:12:23.274,70,,,1,,,0.2,1.82782942E-08,0.199349166,,
2022-12-02 10:12:25.437,71,,,1,,,0.25,2.22718846E-08,0.249286683,,
2022-12-02 10:12:27.732,72,,,1,,,0.3,2.77583352E-08,0.299270434,,
2022-12-02 10:12:30.046,73,,,1,,,0.35,3.2222219E-08,0.349220519,,
2022-12-02 10:12:32.256,74,,,1,,,0.4,3.70808462E-08,0.399274241,,
2022-12-02 10:12:34.968,75,,,1,,,0.45,4.22724448E-08,0.449226085,,
2022-12-02 10:12:37.184,76,,,1,,,0.5,4.77997705E-08,0.499228306,,
2022-12-02 10:12:39.395,77,,,1,,,0.55,5.28342985E-08,0.549160837,,
2022-12-02 10:12:41.621,78,,,1,,,0.6,5.78617077E-08,0.599197498,,
2022-12-02 10:12:43.907,79,,,1,,,0.65,6.37020266E-08,0.649050134,,
2022-12-02 10:12:46.212,80,,,1,,,0.7,6.77879304E-08,0.699059507,,
2022-12-02 10:12:48.460,81,,,1,,,0.75,7.36043672E-08,0.748987142,,
2022-12-02 10:12:50.743,82,,,1,,,0.8,7.75885425E-08,0.799016255,,
2022-12-02 10:12:52.990,83,,,1,,,0.85,8.30077099E-08,0.848959815,,
2022-12-02 10:12:55.123,84,,,1,,,0.9,8.82746289E-08,0.898687568,,
2022-12-02 10:12:57.419,85,,,1,,,0.95,9.36621066E-08,0.948655716,,
2022-12-02 10:12:59.673,86,,,1,,,1,9.76644232E-08,0.998618451,,
2022-12-02 10:13:01.812,87,,,1,,,1.05,1.03490734E-07,1.04866936,,
2022-12-02 10:13:04.073,88,,,1,,,1.1,1.07323121E-07,1.09861516,,
2022-12-02 10:13:06.337,89,,,1,,,1.15,1.12674316E-07,1.14832604,,
2022-12-02 10:13:08.486,90,,,1,,,1.2,1.17805291E-07,1.19826846,,
2022-12-02 10:13:11.085,91,,,1,,,1.25,1.22878397E-07,1.24867453,,
2022-12-02 10:13:13.266,92,,,1,,,1.3,1.27742536E-07,1.29857935,,
2022-12-02 10:13:15.426,93,,,1,,,1.35,1.33338752E-07,1.34861765,,
2022-12-02 10:13:17.748,94,,,1,,,1.4,1.39346475E-07,1.39859835,,
2022-12-02 10:13:20.026,95,,,1,,,1.45,1.43747669E-07,1.44863494,,
2022-12-02 10:13:22.171,96,,,1,,,1.5,1.47819565E-07,1.49860437,,
2022-12-02 10:13:24.421,97,,,1,,,1.55,1.53149863E-07,1.5485922,,
2022-12-02 10:13:26.664,98,,,1,,,1.6,1.57196499E-07,1.59851273,,
2022-12-02 10:13:28.809,99,,,1,,,1.65,1.63393442E-07,1.64861434,,
2022-12-02 10:13:31.479,100,,,1,,,1.7,1.6806285E-07,1.69846376,,
2022-12-02 10:13:33.756,101,,,1,,,1.75,1.7276854E-07,1.74840385,,
2022-12-02 10:13:35.920,102,,,1,,,1.8,1.77750481E-07,1.79847708,,
2022-12-02 10:13:38.203,103,,,1,,,1.85,1.82283944E-07,1.84852634,,
2022-12-02 10:13:40.507,104,,,1,,,1.9,1.88679751E-07,1.89850663,,
2022-12-02 10:13:42.678,105,,,1,,,1.95,1.93003558E-07,1.94839555,,
2022-12-02 10:13:44.961,106,,,1,,,2,1.97230687E-07,1.9983429,,
2022-12-02 10:13:47.234,107,,,1,,,2.05,2.0245145E-07,2.04844586,,
2022-12-02 10:13:49.383,108,,,1,,,2.1,2.08255027E-07,2.09846627,,
2022-12-02 10:13:51.608,109,,,1,,,2.15,2.14954641E-07,2.14841176,,
2022-12-02 10:13:53.827,110,,,1,,,2.2,2.18742938E-07,2.19819718,,
2022-12-02 10:13:56.020,111,,,1,,,2.25,2.22430883E-07,2.24813624,,
2022-12-02 10:13:58.178,112,,,1,,,2.3,2.2902854E-07,2.29824204,,
2022-12-02 10:14:00.397,113,,,1,,,2.35,2.32371343E-07,2.34809742,,
2022-12-02 10:14:02.644,114,,,1,,,2.4,2.37703709E-07,2.39808465,,
2022-12-02 10:14:04.743,115,,,1,,,2.45,2.42680598E-07,2.44821051,,
2022-12-02 10:14:07.040,116,,,1,,,2.5,2.48244895E-07,2.4981965,,
2022-12-02 10:14:09.321,117,,,1,,,2.55,2.53274601E-07,2.54813265,,
2022-12-02 10:14:11.517,118,,,1,,,2.6,2.57986032E-07,2.59810755,,
2022-12-02 10:14:13.781,119,,,1,,,2.65,2.62203976E-07,2.64825243,,
2022-12-02 10:14:16.058,120,,,1,,,2.7,2.67636921E-07,2.6982103,,
2022-12-02 10:14:18.197,121,,,1,,,2.75,2.72610825E-07,2.74804699,,
2022-12-02 10:14:20.467,122,,,1,,,2.8,2.77844677E-07,2.79796765,,
2022-12-02 10:14:22.756,123,,,1,,,2.85,2.82093392E-07,2.8480808,,
2022-12-02 10:14:24.899,124,,,1,,,2.9,2.86918034E-07,2.89799231,,
2022-12-02 10:14:27.058,125,,,1,,,2.95,2.92931498E-07,2.94804251,,
2022-12-02 10:14:29.354,126,,,1,,,3,2.97158857E-07,2.99795053,,
2022-12-02 10:14:34.105,127,,,2,2,0.001419881,3,,,,
2022-12-02 10:14:36.832,128,,,2,,,0,3.59349652E-08,-0.000216019643,,
2022-12-02 10:14:39.100,129,,,2,,,0.05,4.01000933E-08,0.0497240727,,
2022-12-02 10:14:41.401,130,,,2,,,0.1,4.56157076E-08,0.0993830022,,
2022-12-02 10:14:43.908,131,,,2,,,0.15,5.10605941E-08,0.149304344,,
2022-12-02 10:14:46.140,132,,,2,,,0.2,5.56149543E-08,0.199345289,,
2022-12-02 10:14:48.433,133,,,2,,,0.25,6.08830216E-08,0.249286526,,
2022-12-02 10:14:50.625,134,,,2,,,0.3,6.60479825E-08,0.299287439,,
2022-12-02 10:14:52.895,135,,,2,,,0.35,7.06404622E-08,0.349221762,,
2022-12-02 10:14:55.163,136,,,2,,,0.4,7.68690946E-08,0.399281369,,
2022-12-02 10:14:57.293,137,,,2,,,0.45,8.09921994E-08,0.449237825,,
2022-12-02 10:14:59.558,138,,,2,,,0.5,8.60315497E-08,0.499229479,,
