x-axis,F1
second,Volt
4.998398437500e-004, 1.74472e-001
4.998403437500e-004, 1.50058e-001
4.998408437500e-004, 1.62753e-001
4.998413437500e-004, 1.60800e-001
4.998418437500e-004, 1.60800e-001
4.998423437500e-004, 1.69589e-001
4.998428437500e-004, 1.64706e-001
4.998433437500e-004, 1.64706e-001
4.998438437500e-004, 1.64706e-001
4.998443437500e-004, 1.63730e-001
4.998448437500e-004, 1.73495e-001
4.998453437500e-004, 1.65683e-001
4.998458437500e-004, 1.66659e-001
4.998463437500e-004, 1.64706e-001
4.998468437500e-004, 1.62753e-001
4.998473437500e-004, 1.52987e-001
4.998478437500e-004, 1.54941e-001
4.998483437500e-004, 1.60800e-001
4.998488437500e-004, 1.66659e-001
4.998493437500e-004, 1.64706e-001
4.998498437500e-004, 1.65683e-001
4.998503437500e-004, 1.76425e-001
4.998508437500e-004, 1.72519e-001
4.998513437500e-004, 1.68612e-001
4.998518437500e-004, 1.68612e-001
4.998523437500e-004, 1.67636e-001
4.998528437500e-004, 1.69589e-001
4.998533437500e-004, 1.66659e-001
4.998538437500e-004, 1.69589e-001
4.998543437500e-004, 1.56894e-001
4.998548437500e-004, 1.60800e-001
4.998553437500e-004, 1.49081e-001
4.998558437500e-004, 1.62753e-001
4.998563437500e-004, 1.70566e-001
4.998568437500e-004, 1.54941e-001
4.998573437500e-004, 1.69589e-001
4.998578437500e-004, 1.71542e-001
4.998583437500e-004, 1.55917e-001
4.998588437500e-004, 1.51034e-001
4.998593437500e-004, 1.65683e-001
4.998598437500e-004, 1.58847e-001
4.998603437500e-004, 1.53964e-001
4.998608437500e-004, 1.58847e-001
4.998613437500e-004, 1.54941e-001
4.998618437500e-004, 1.53964e-001
4.998623437500e-004, 1.67636e-001
4.998628437500e-004, 1.60800e-001
4.998633437500e-004, 1.63730e-001
4.998638437500e-004, 1.72519e-001
4.998643437500e-004, 1.84237e-001
4.998648437500e-004, 1.85214e-001
4.998653437500e-004, 1.77402e-001
4.998658437500e-004, 1.70566e-001
4.998663437500e-004, 1.52011e-001
4.998668437500e-004, 1.53964e-001
4.998673437500e-004, 1.44198e-001
4.998678437500e-004, 1.53964e-001
4.998683437500e-004, 1.51034e-001
