x-axis,F1
second,Volt
-2.500000000000e-007, 4.06828e-002
-2.495000000000e-007, 4.65422e-002
-2.490000000000e-007, 4.16594e-002
-2.485000000000e-007, 4.16594e-002
-2.480000000000e-007, 4.26359e-002
-2.475000000000e-007, 4.16594e-002
-2.470000000000e-007, 4.06828e-002
-2.465000000000e-007, 4.36125e-002
-2.460000000000e-007, 4.06828e-002
-2.455000000000e-007, 3.58000e-002
-2.450000000000e-007, 4.16594e-002
-2.445000000000e-007, 4.36125e-002
-2.440000000000e-007, 4.75187e-002
-2.435000000000e-007, 4.94719e-002
-2.430000000000e-007, 4.26359e-002
-2.425000000000e-007, 4.45891e-002
-2.420000000000e-007, 3.87297e-002
-2.415000000000e-007, 3.87297e-002
-2.410000000000e-007, 4.94719e-002
-2.405000000000e-007, 4.84953e-002
-2.400000000000e-007, 4.84953e-002
-2.395000000000e-007, 4.65422e-002
-2.390000000000e-007, 3.77531e-002
-2.385000000000e-007, 3.48234e-002
-2.380000000000e-007, 3.48234e-002
-2.375000000000e-007, 3.28703e-002
-2.370000000000e-007, 3.48234e-002
-2.365000000000e-007, 2.89641e-002
-2.360000000000e-007, 3.87297e-002
-2.355000000000e-007, 3.87297e-002
-2.350000000000e-007, 6.02141e-002
-2.345000000000e-007, 6.02141e-002
-2.340000000000e-007, 5.33781e-002
-2.335000000000e-007, 5.24016e-002
-2.330000000000e-007, 5.72844e-002
-2.325000000000e-007, 6.31437e-002
-2.320000000000e-007, 5.04484e-002
-2.315000000000e-007, 4.94719e-002
-2.310000000000e-007, 5.53312e-002
-2.305000000000e-007, 6.02141e-002
-2.300000000000e-007, 5.63078e-002
-2.295000000000e-007, 4.75187e-002
-2.290000000000e-007, 4.84953e-002
-2.285000000000e-007, 4.75187e-002
-2.280000000000e-007, 4.45891e-002
-2.275000000000e-007, 4.65422e-002
-2.270000000000e-007, 3.87297e-002
-2.265000000000e-007, 3.67766e-002
-2.260000000000e-007, 3.67766e-002
-2.255000000000e-007, 4.06828e-002
-2.250000000000e-007, 4.16594e-002
-2.245000000000e-007, 4.16594e-002
-2.240000000000e-007, 5.53312e-002
-2.235000000000e-007, 4.36125e-002
-2.230000000000e-007, 4.36125e-002
-2.225000000000e-007, 4.26359e-002
-2.220000000000e-007, 3.48234e-002
-2.215000000000e-007, 3.28703e-002
-2.210000000000e-007, 2.79875e-002
-2.205000000000e-007, 3.18937e-002
-2.200000000000e-007, 3.67766e-002
-2.195000000000e-007, 3.18937e-002
-2.190000000000e-007, 3.09172e-002
-2.185000000000e-007, 3.38469e-002
-2.180000000000e-007, 3.48234e-002
-2.175000000000e-007, 4.26359e-002
-2.170000000000e-007, 4.06828e-002
-2.165000000000e-007, 4.16594e-002
-2.160000000000e-007, 4.16594e-002
-2.155000000000e-007, 3.87297e-002
-2.150000000000e-007, 2.21281e-002
-2.145000000000e-007, 2.31047e-002
-2.140000000000e-007, 2.21281e-002
-2.135000000000e-007, 1.62687e-002
-2.130000000000e-007, 2.40812e-002
-2.125000000000e-007, 1.43156e-002
-2.120000000000e-007, 3.48234e-002
-2.115000000000e-007, 3.48234e-002
-2.110000000000e-007, 3.87297e-002
-2.105000000000e-007, 4.94719e-002
-2.100000000000e-007, 5.53312e-002
-2.095000000000e-007, 4.75187e-002
-2.090000000000e-007, 3.48234e-002
-2.085000000000e-007, 3.38469e-002
-2.080000000000e-007, 3.67766e-002
-2.075000000000e-007, 4.26359e-002
-2.070000000000e-007, 4.36125e-002
-2.065000000000e-007, 3.87297e-002
-2.060000000000e-007, 3.87297e-002
-2.055000000000e-007, 4.94719e-002
-2.050000000000e-007, 3.77531e-002
-2.045000000000e-007, 3.87297e-002
-2.040000000000e-007, 3.77531e-002
-2.035000000000e-007, 3.28703e-002
-2.030000000000e-007, 3.18937e-002
-2.025000000000e-007, 3.38469e-002
-2.020000000000e-007, 4.45891e-002
-2.015000000000e-007, 4.26359e-002
-2.010000000000e-007, 3.48234e-002
-2.005000000000e-007, 3.67766e-002
-2.000000000000e-007, 3.97062e-002
-1.995000000000e-007, 3.97062e-002
-1.990000000000e-007, 2.89641e-002
-1.985000000000e-007, 3.67766e-002
-1.980000000000e-007, 3.67766e-002
-1.975000000000e-007, 3.67766e-002
-1.970000000000e-007, 4.16594e-002
-1.965000000000e-007, 3.87297e-002
-1.960000000000e-007, 3.87297e-002
-1.955000000000e-007, 4.26359e-002
-1.950000000000e-007, 3.97062e-002
-1.945000000000e-007, 3.67766e-002
-1.940000000000e-007, 4.26359e-002
-1.935000000000e-007, 4.36125e-002
-1.930000000000e-007, 4.36125e-002
-1.925000000000e-007, 4.36125e-002
-1.920000000000e-007, 4.45891e-002
-1.915000000000e-007, 4.26359e-002
-1.910000000000e-007, 5.04484e-002
-1.905000000000e-007, 5.04484e-002
-1.900000000000e-007, 5.92375e-002
-1.895000000000e-007, 5.53312e-002
-1.890000000000e-007, 4.45891e-002
-1.885000000000e-007, 3.58000e-002
-1.880000000000e-007, 3.38469e-002
-1.875000000000e-007, 2.99406e-002
-1.870000000000e-007, 2.70109e-002
-1.865000000000e-007, 2.99406e-002
-1.860000000000e-007, 2.60344e-002
-1.855000000000e-007, 3.18937e-002
-1.850000000000e-007, 3.18937e-002
-1.845000000000e-007, 3.18937e-002
-1.840000000000e-007, 3.58000e-002
-1.835000000000e-007, 4.55656e-002
-1.830000000000e-007, 4.36125e-002
-1.825000000000e-007, 4.36125e-002
-1.820000000000e-007, 4.26359e-002
-1.815000000000e-007, 4.75187e-002
-1.810000000000e-007, 4.75187e-002
-1.805000000000e-007, 5.82609e-002
-1.800000000000e-007, 5.92375e-002
-1.795000000000e-007, 4.36125e-002
-1.790000000000e-007, 4.16594e-002
-1.785000000000e-007, 3.18937e-002
-1.780000000000e-007, 2.40812e-002
-1.775000000000e-007, 3.67766e-002
-1.770000000000e-007, 4.45891e-002
-1.765000000000e-007, 5.92375e-002
-1.760000000000e-007, 5.24016e-002
-1.755000000000e-007, 5.04484e-002
-1.750000000000e-007, 5.04484e-002
-1.745000000000e-007, 3.87297e-002
-1.740000000000e-007, 3.28703e-002
-1.735000000000e-007, 3.38469e-002
-1.730000000000e-007, 3.38469e-002
-1.725000000000e-007, 3.58000e-002
-1.720000000000e-007, 3.48234e-002
-1.715000000000e-007, 3.87297e-002
-1.710000000000e-007, 3.87297e-002
-1.705000000000e-007, 4.36125e-002
-1.700000000000e-007, 4.06828e-002
