x-axis,1,3,F1
second,Volt,Volt,Volt
-478.7730E-06,-76.8261287E-03,-65.7346711E-03,-11.1799028E-03
-478.2530E-06,-76.7418160E-03,-66.0487414E-03,-10.7492092E-03
-477.7330E-06,-76.9266293E-03,-66.4023151E-03,-10.5677860E-03
-477.2130E-06,-76.6628093E-03,-66.9802054E-03,-9.7499131E-03
-476.6930E-06,-76.6520623E-03,-67.0519498E-03,-9.6697579E-03
-476.1730E-06,-76.7633100E-03,-67.1937751E-03,-9.6400462E-03
-475.6530E-06,-76.8046347E-03,-67.3050228E-03,-9.5721034E-03
-475.1330E-06,-76.9661327E-03,-67.6190932E-03,-9.4238520E-03
-474.6130E-06,-77.2281313E-03,-67.6711649E-03,-9.6278337E-03
-474.0930E-06,-76.9643113E-03,-67.9331635E-03,-9.1169064E-03
-473.5730E-06,-76.9661327E-03,-67.9331635E-03,-9.1186762E-03
-473.0530E-06,-77.0648120E-03,-68.4626249E-03,-8.6582357E-03
-472.5330E-06,-76.9661327E-03,-68.5613042E-03,-8.4472895E-03
-472.0130E-06,-77.1653126E-03,-68.3621243E-03,-8.8730755E-03
-471.4930E-06,-77.0307727E-03,-68.6259443E-03,-8.4472895E-03
-470.9730E-06,-77.2802030E-03,-68.8609848E-03,-8.4640681E-03
-470.4530E-06,-76.9661327E-03,-68.8753745E-03,-8.1421137E-03
-469.9330E-06,-77.1940921E-03,-69.1894449E-03,-8.0584415E-03
-469.4130E-06,-77.1438418E-03,-69.3258061E-03,-7.8771148E-03
-468.8930E-06,-76.9661327E-03,-69.3169037E-03,-7.7130888E-03
-468.3730E-06,-77.0433411E-03,-69.5035152E-03,-7.6067840E-03
-467.8530E-06,-77.2802030E-03,-69.5304734E-03,-7.8107432E-03
-467.3330E-06,-76.9894249E-03,-69.5268074E-03,-7.5317621E-03
-466.8130E-06,-77.2802030E-03,-69.8175856E-03,-7.5317621E-03
-466.2930E-06,-76.9661327E-03,-69.8175856E-03,-7.2265863E-03
-465.7730E-06,-77.2802030E-03,-70.1316559E-03,-7.2265863E-03
-465.2530E-06,-77.0559095E-03,-70.1316559E-03,-7.0086449E-03
-464.7330E-06,-76.9661327E-03,-70.1316559E-03,-6.9214106E-03
-464.2130E-06,-77.2802030E-03,-70.1423798E-03,-7.2161662E-03
-463.6930E-06,-77.3411772E-03,-70.3847521E-03,-7.0399052E-03
-463.1730E-06,-77.4830489E-03,-70.5569508E-03,-7.0104372E-03
-462.6530E-06,-77.4327986E-03,-70.6072011E-03,-6.9127828E-03
-462.1330E-06,-77.2802030E-03,-70.8691766E-03,-6.4688067E-03
-461.6130E-06,-77.5421785E-03,-71.0738670E-03,-6.5554913E-03
-461.0930E-06,-76.9698218E-03,-70.7597966E-03,-6.2539670E-03
-460.5730E-06,-77.2802030E-03,-71.0738670E-03,-6.2500238E-03
-460.0530E-06,-77.5942734E-03,-71.1725231E-03,-6.5012002E-03
-459.5330E-06,-77.5942734E-03,-71.0738670E-03,-6.6162348E-03
-459.0130E-06,-77.2802030E-03,-71.4721805E-03,-5.8629907E-03
-458.4930E-06,-77.2802030E-03,-71.3879373E-03,-5.9448481E-03
-457.9730E-06,-77.2946160E-03,-71.4023503E-03,-5.9448481E-03
-457.4530E-06,-77.3160404E-03,-71.7020077E-03,-5.6744947E-03
-456.9330E-06,-77.5942734E-03,-71.7020077E-03,-5.9448481E-03
-456.4130E-06,-77.5942734E-03,-72.0574723E-03,-5.5994503E-03
-455.8930E-06,-77.2802030E-03,-72.0160780E-03,-5.3344965E-03
