Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.0403232,-0.401005049236119,-0.648241188377142,
,,,-0.0402224,-0.396984948311001,-0.648241188377142,
,,,-0.0401216,-0.392964847385883,-0.648241188377142,
,,,-0.0400208,-0.388944746460766,-0.62814068607986,
,,,-0.03992,0.31055281450972,0.63819095864892,
,,,-0.0398192,0.31055281450972,0.618090456351638,
,,,-0.0397184,0.31055281450972,0.618090456351638,
,,,-0.0396176,0.31055281450972,0.618090456351638,
,,,-0.0395168,0.31055281450972,0.618090456351638,
,,,-0.039416,-0.401005049236119,-0.62814068607986,
,,,-0.0393152,-0.396984948311001,-0.62814068607986,
,,,-0.0392144,-0.396984948311001,-0.648241188377142,
,,,-0.0391136,-0.392964847385883,-0.62814068607986,
,,,-0.0390128,-0.392964847385883,-0.648241188377142,
,,,-0.038912,0.31055281450972,0.618090456351638,
,,,-0.0388112,0.31055281450972,0.618090456351638,
,,,-0.0387104,0.31055281450972,0.63819095864892,
,,,-0.0386096,0.31055281450972,0.63819095864892,
,,,-0.0385088,0.31055281450972,0.63819095864892,
,,,-0.038408,-0.401005049236119,-0.62814068607986,
,,,-0.0383072,-0.401005049236119,-0.648241188377142,
,,,-0.0382064,-0.392964847385883,-0.648241188377142,
,,,-0.0381056,-0.392964847385883,-0.62814068607986,
,,,-0.0380048,-0.388944746460766,-0.648241188377142,
,,,-0.037904,0.31055281450972,0.63819095864892,
,,,-0.0378032,0.31055281450972,0.63819095864892,
,,,-0.0377024,0.31055281450972,0.63819095864892,
,,,-0.0376016,0.31055281450972,0.618090456351638,
,,,-0.0375008,0.31055281450972,0.618090456351638,
,,,-0.0374,-0.405025150161237,-0.648241188377142,
,,,-0.0372992,-0.401005049236119,-0.62814068607986,
,,,-0.0371984,-0.396984948311001,-0.62814068607986,
,,,-0.0370976,-0.392964847385883,-0.648241188377142,
,,,-0.0369968,0.31055281450972,-0.587939681485295,
,,,-0.036896,0.31055281450972,0.618090456351638,
,,,-0.0367952,0.31055281450972,0.618090456351638,
,,,-0.0366944,0.31055281450972,0.63819095864892,
,,,-0.0365936,0.31055281450972,0.63819095864892,
,,,-0.0364928,-0.401005049236119,-0.608040183782578,
,,,-0.036392,-0.401005049236119,-0.648241188377142,
,,,-0.0362912,-0.396984948311001,-0.648241188377142,
,,,-0.0361904,-0.392964847385883,-0.648241188377142,
,,,-0.0360896,-0.392964847385883,-0.648241188377142,
,,,-0.0359888,0.31055281450972,-0.547738676890731,
,,,-0.035888,0.31055281450972,0.63819095864892,
,,,-0.0357872,0.31055281450972,0.63819095864892,
,,,-0.0356864,0.31055281450972,0.618090456351638,
,,,-0.0355856,0.31055281450972,0.618090456351638,
,,,-0.0354848,-0.401005049236119,-0.608040183782578,
,,,-0.035384,-0.401005049236119,-0.648241188377142,
,,,-0.0352832,-0.396984948311001,-0.648241188377142,
,,,-0.0351824,-0.392964847385883,-0.648241188377142,
,,,-0.0350816,-0.392964847385883,-0.648241188377142,
,,,-0.0349808,0.31055281450972,-0.0251256171613932,
,,,-0.03488,0.31055281450972,0.618090456351638,
,,,-0.0347792,0.31055281450972,0.63819095864892,
,,,-0.0346784,0.31055281450972,0.618090456351638,
