Serial Number,MY57000085,
Model Number,U1282A,
Remark,-,
Date Time,12/6/2022 11:21:21 AM
Record,Time,Function,Reading,Range,Unit
90,12/6/2022 10:52:04.184,Current {DC},0.03,600 uA,uA
91,12/6/2022 10:52:05.187,Current {DC},0.03,600 uA,uA
92,12/6/2022 10:52:06.189,Current {DC},0.03,600 uA,uA
93,12/6/2022 10:52:07.202,Current {DC},0.03,600 uA,uA
94,12/6/2022 10:52:08.217,Current {DC},0.03,600 uA,uA
95,12/6/2022 10:52:09.221,Current {DC},0.03,600 uA,uA
96,12/6/2022 10:52:10.233,Current {DC},0.03,600 uA,uA
97,12/6/2022 10:52:11.249,Current {DC},0.03,600 uA,uA
98,12/6/2022 10:52:12.262,Current {DC},0.03,600 uA,uA
99,12/6/2022 10:52:13.277,Current {DC},0.03,600 uA,uA
100,12/6/2022 10:52:14.279,Current {DC},0.03,600 uA,uA
101,12/6/2022 10:52:15.279,Current {DC},0.03,600 uA,uA
102,12/6/2022 10:52:16.280,Current {DC},0.03,600 uA,uA
103,12/6/2022 10:52:17.281,Current {DC},0.03,600 uA,uA
104,12/6/2022 10:52:18.286,Current {DC},0.03,600 uA,uA
105,12/6/2022 10:52:19.301,Current {DC},0.03,600 uA,uA
106,12/6/2022 10:52:20.302,Current {DC},0.03,600 uA,uA
107,12/6/2022 10:52:21.306,Current {DC},0.03,600 uA,uA
108,12/6/2022 10:52:22.314,Current {DC},0.03,600 uA,uA
109,12/6/2022 10:52:23.323,Current {DC},0.03,600 uA,uA
110,12/6/2022 10:52:24.326,Current {DC},0.03,600 uA,uA
111,12/6/2022 10:52:25.327,Current {DC},0.03,600 uA,uA
112,12/6/2022 10:52:26.328,Current {DC},0.03,600 uA,uA
113,12/6/2022 10:52:27.330,Current {DC},0.03,600 uA,uA
114,12/6/2022 10:52:28.331,Current {DC},0.03,600 uA,uA
115,12/6/2022 10:52:29.334,Current {DC},0.03,600 uA,uA
116,12/6/2022 10:52:30.335,Current {DC},0.03,600 uA,uA
117,12/6/2022 10:52:31.336,Current {DC},0.02,600 uA,uA
118,12/6/2022 10:52:32.346,Current {DC},0.03,600 uA,uA
119,12/6/2022 10:52:33.363,Current {DC},0.03,600 uA,uA
120,12/6/2022 10:52:34.377,Current {DC},0.03,600 uA,uA
121,12/6/2022 10:52:35.390,Current {DC},0.03,600 uA,uA
122,12/6/2022 10:52:36.391,Current {DC},0.03,600 uA,uA
123,12/6/2022 10:52:37.392,Current {DC},0.02,600 uA,uA
124,12/6/2022 10:52:38.393,Current {DC},0.02,600 uA,uA
125,12/6/2022 10:52:39.394,Current {DC},0.02,600 uA,uA
126,12/6/2022 10:52:40.396,Current {DC},0.03,600 uA,uA
127,12/6/2022 10:52:41.400,Current {DC},0.03,600 uA,uA
128,12/6/2022 10:52:42.402,Current {DC},0.03,600 uA,uA
129,12/6/2022 10:52:43.402,Current {DC},0.03,600 uA,uA
130,12/6/2022 10:52:44.414,Current {DC},0.03,600 uA,uA
131,12/6/2022 10:52:45.415,Current {DC},0.03,600 uA,uA
132,12/6/2022 10:52:46.416,Current {DC},0.03,600 uA,uA
133,12/6/2022 10:52:47.418,Current {DC},0.03,600 uA,uA
134,12/6/2022 10:52:48.428,Current {DC},0.03,600 uA,uA
135,12/6/2022 10:52:49.430,Current {DC},0.03,600 uA,uA
136,12/6/2022 10:52:50.436,Current {DC},0.03,600 uA,uA
137,12/6/2022 10:52:51.437,Current {DC},0.03,600 uA,uA
138,12/6/2022 10:52:52.439,Current {DC},0.03,600 uA,uA
139,12/6/2022 10:52:53.440,Current {DC},0.03,600 uA,uA
140,12/6/2022 10:52:54.441,Current {DC},0.03,600 uA,uA
141,12/6/2022 10:52:55.465,Current {DC},0.03,600 uA,uA
142,12/6/2022 10:52:56.480,Current {DC},0.03,600 uA,uA
143,12/6/2022 10:52:57.481,Current {DC},0.02,600 uA,uA
144,12/6/2022 10:52:58.494,Current {DC},0.03,600 uA,uA
145,12/6/2022 10:52:59.495,Current {DC},0.03,600 uA,uA
146,12/6/2022 10:53:00.496,Current {DC},0.03,600 uA,uA
147,12/6/2022 10:53:01.502,Current {DC},0.03,600 uA,uA
148,12/6/2022 10:53:02.508,Current {DC},0.03,600 uA,uA
149,12/6/2022 10:53:03.513,Current {DC},0.03,600 uA,uA
150,12/6/2022 10:53:04.524,Current {DC},0.03,600 uA,uA
151,12/6/2022 10:53:05.535,Current {DC},0.03,600 uA,uA
152,12/6/2022 10:53:06.544,Current {DC},0.03,600 uA,uA
153,12/6/2022 10:53:07.545,Current {DC},0.03,600 uA,uA
154,12/6/2022 10:53:08.547,Current {DC},0.03,600 uA,uA
155,12/6/2022 10:53:09.550,Current {DC},0.03,600 uA,uA
156,12/6/2022 10:53:10.553,Current {DC},0.03,600 uA,uA
157,12/6/2022 10:53:11.555,Current {DC},0.03,600 uA,uA
158,12/6/2022 10:53:12.556,Current {DC},0.03,600 uA,uA
159,12/6/2022 10:53:13.565,Current {DC},0.04,600 uA,uA
160,12/6/2022 10:53:14.566,Current {DC},0.04,600 uA,uA
161,12/6/2022 10:53:15.577,Current {DC},0.04,600 uA,uA
162,12/6/2022 10:53:16.578,Current {DC},0.04,600 uA,uA
163,12/6/2022 10:53:17.580,Current {DC},0.03,600 uA,uA
164,12/6/2022 10:53:18.594,Current {DC},0.03,600 uA,uA
165,12/6/2022 10:53:19.595,Current {DC},0.03,600 uA,uA
166,12/6/2022 10:53:20.596,Current {DC},0.03,600 uA,uA
167,12/6/2022 10:53:21.597,Current {DC},0.03,600 uA,uA
168,12/6/2022 10:53:22.599,Current {DC},0.04,600 uA,uA
169,12/6/2022 10:53:23.599,Current {DC},0.04,600 uA,uA
170,12/6/2022 10:53:24.600,Current {DC},0.04,600 uA,uA
171,12/6/2022 10:53:25.601,Current {DC},0.04,600 uA,uA
172,12/6/2022 10:53:26.602,Current {DC},0.04,600 uA,uA
173,12/6/2022 10:53:27.603,Current {DC},0.03,600 uA,uA
174,12/6/2022 10:53:28.603,Current {DC},0.03,600 uA,uA
175,12/6/2022 10:53:29.605,Current {DC},0.03,600 uA,uA
176,12/6/2022 10:53:30.605,Current {DC},0.04,600 uA,uA
177,12/6/2022 10:53:31.606,Current {DC},0.04,600 uA,uA
178,12/6/2022 10:53:32.607,Current {DC},0.04,600 uA,uA
179,12/6/2022 10:53:33.608,Current {DC},0.04,600 uA,uA
180,12/6/2022 10:53:34.610,Current {DC},0.04,600 uA,uA
181,12/6/2022 10:53:35.614,Current {DC},0.04,600 uA,uA
182,12/6/2022 10:53:36.617,Current {DC},0.04,600 uA,uA
183,12/6/2022 10:53:37.618,Current {DC},0.04,600 uA,uA
184,12/6/2022 10:53:38.621,Current {DC},0.04,600 uA,uA
185,12/6/2022 10:53:39.622,Current {DC},0.04,600 uA,uA
