x-axis,F1
second,Volt
9.972812500000e-004,-5.92534e-001
9.972958325000e-004,-5.93745e-001
9.973104150000e-004,-5.92534e-001
9.973249975000e-004,-5.92534e-001
9.973395800000e-004,-5.93745e-001
9.973541625000e-004,-5.93745e-001
9.973687450000e-004,-5.94956e-001
9.973833275000e-004,-5.92534e-001
9.973979100000e-004,-5.93745e-001
9.974124925000e-004,-5.92534e-001
9.974270750000e-004,-5.93745e-001
9.974416575000e-004,-5.93745e-001
9.974562400000e-004,-5.92534e-001
9.974708225000e-004,-5.94956e-001
9.974854050000e-004,-5.92534e-001
9.974999875000e-004,-5.92534e-001
9.975145700000e-004,-5.93745e-001
9.975291525000e-004,-5.92534e-001
9.975437350000e-004,-5.92534e-001
9.975583175000e-004,-5.92534e-001
9.975729000000e-004,-5.93745e-001
9.975874825000e-004,-5.93745e-001
9.976020650000e-004,-5.93745e-001
9.976166475000e-004,-5.93745e-001
9.976312300000e-004,-5.93745e-001
9.976458125000e-004,-5.94956e-001
9.976603950000e-004,-5.92534e-001
9.976749775000e-004,-5.92534e-001
9.976895600000e-004,-5.94956e-001
9.977041425000e-004,-5.93745e-001
9.977187250000e-004,-5.93745e-001
9.977333075000e-004,-5.94956e-001
9.977478900000e-004,-5.93745e-001
9.977624725000e-004,-5.93745e-001
9.977770550000e-004,-5.93745e-001
9.977916375000e-004,-5.94956e-001
9.978062200000e-004,-5.92534e-001
9.978208025000e-004,-5.94956e-001
9.978353850000e-004,-5.91323e-001
9.978499675000e-004,-5.91323e-001
9.978645500000e-004,-5.93745e-001
9.978791325000e-004,-5.93745e-001
9.978937150000e-004,-5.93745e-001
9.979082975000e-004,-5.93745e-001
9.979228800000e-004,-5.91323e-001
9.979374625000e-004,-5.93745e-001
9.979520450000e-004,-5.93745e-001
9.979666275000e-004,-5.92534e-001
9.979812100000e-004,-5.93745e-001
9.979957925000e-004,-5.91323e-001
9.980103750000e-004,-5.93745e-001
9.980249575000e-004,-5.93745e-001
9.980395400000e-004,-5.96167e-001
9.980541225000e-004,-5.93745e-001
9.980687050000e-004,-5.92534e-001
9.980832875000e-004,-5.92534e-001
9.980978700000e-004,-5.92534e-001
9.981124525000e-004,-5.91323e-001
9.981270350000e-004,-5.92534e-001
9.981416175000e-004,-5.93745e-001
9.981562000000e-004,-5.93745e-001
9.981707825000e-004,-5.92534e-001
9.981853650000e-004,-5.91323e-001
9.981999475000e-004,-5.93745e-001
9.982145300000e-004,-5.93745e-001
9.982291125000e-004,-5.92534e-001
9.982436950000e-004,-5.92534e-001
9.982582775000e-004,-5.92534e-001
9.982728600000e-004,-5.92534e-001
9.982874425000e-004,-5.91323e-001
9.983020250000e-004,-5.93745e-001
9.983166075000e-004,-5.93745e-001
9.983311900000e-004,-5.94956e-001
9.983457725000e-004,-5.93745e-001
9.983603550000e-004,-5.93745e-001
9.983749375000e-004,-5.91323e-001
9.983895200000e-004,-5.94956e-001
9.984041025000e-004,-5.93745e-001
9.984186850000e-004,-5.94956e-001
9.984332675000e-004,-5.94956e-001
9.984478500000e-004,-5.92534e-001
9.984624325000e-004,-5.92534e-001
9.984770150000e-004,-5.93745e-001
9.984915975000e-004,-5.92534e-001
9.985061800000e-004,-5.92534e-001
9.985207625000e-004,-5.93745e-001
9.985353450000e-004,-5.91323e-001
9.985499275000e-004,-5.92534e-001
9.985645100000e-004,-5.92534e-001
9.985790925000e-004,-5.93745e-001
9.985936750000e-004,-5.92534e-001
9.986082575000e-004,-5.92534e-001
9.986228400000e-004,-5.93745e-001
9.986374225000e-004,-5.93745e-001
9.986520050000e-004,-5.93745e-001
9.986665875000e-004,-5.92534e-001
9.986811700000e-004,-5.93745e-001
9.986957525000e-004,-5.91323e-001
9.987103350000e-004,-5.93745e-001
9.987249175000e-004,-5.91323e-001
9.987395000000e-004,-5.93745e-001
