x-axis,F1
second,Volt
1.499862500000e-003, 1.96133e+000
1.499863000000e-003, 1.96012e+000
1.499863500000e-003, 1.96133e+000
1.499864000000e-003, 1.96375e+000
1.499864500000e-003, 1.96254e+000
1.499865000000e-003, 1.96133e+000
1.499865500000e-003, 1.96133e+000
1.499866000000e-003, 1.96133e+000
1.499866500000e-003, 1.96133e+000
1.499867000000e-003, 1.96012e+000
1.499867500000e-003, 1.96012e+000
1.499868000000e-003, 1.95891e+000
1.499868500000e-003, 1.95891e+000
1.499869000000e-003, 1.95891e+000
1.499869500000e-003, 1.96012e+000
1.499870000000e-003, 1.95891e+000
1.499870500000e-003, 1.95770e+000
1.499871000000e-003, 1.95891e+000
1.499871500000e-003, 1.95891e+000
1.499872000000e-003, 1.96012e+000
1.499872500000e-003, 1.96254e+000
1.499873000000e-003, 1.96254e+000
1.499873500000e-003, 1.96133e+000
1.499874000000e-003, 1.96012e+000
1.499874500000e-003, 1.96133e+000
1.499875000000e-003, 1.96012e+000
1.499875500000e-003, 1.96012e+000
1.499876000000e-003, 1.96254e+000
1.499876500000e-003, 1.96254e+000
1.499877000000e-003, 1.96133e+000
1.499877500000e-003, 1.96133e+000
1.499878000000e-003, 1.96254e+000
1.499878500000e-003, 1.96254e+000
1.499879000000e-003, 1.96254e+000
1.499879500000e-003, 1.96133e+000
1.499880000000e-003, 1.96133e+000
1.499880500000e-003, 1.96133e+000
1.499881000000e-003, 1.95891e+000
1.499881500000e-003, 1.95891e+000
1.499882000000e-003, 1.95891e+000
1.499882500000e-003, 1.96133e+000
1.499883000000e-003, 1.96133e+000
1.499883500000e-003, 1.96133e+000
1.499884000000e-003, 1.96133e+000
1.499884500000e-003, 1.96012e+000
1.499885000000e-003, 1.96012e+000
1.499885500000e-003, 1.95770e+000
1.499886000000e-003, 1.95891e+000
1.499886500000e-003, 1.95891e+000
1.499887000000e-003, 1.95770e+000
1.499887500000e-003, 1.96012e+000
1.499888000000e-003, 1.96012e+000
1.499888500000e-003, 1.96012e+000
1.499889000000e-003, 1.96012e+000
1.499889500000e-003, 1.96012e+000
1.499890000000e-003, 1.96133e+000
1.499890500000e-003, 1.96133e+000
1.499891000000e-003, 1.96012e+000
1.499891500000e-003, 1.96012e+000
1.499892000000e-003, 1.95891e+000
1.499892500000e-003, 1.96012e+000
1.499893000000e-003, 1.96133e+000
1.499893500000e-003, 1.95891e+000
1.499894000000e-003, 1.96012e+000
1.499894500000e-003, 1.96012e+000
1.499895000000e-003, 1.95891e+000
1.499895500000e-003, 1.95891e+000
1.499896000000e-003, 1.96012e+000
1.499896500000e-003, 1.96012e+000
1.499897000000e-003, 1.96012e+000
1.499897500000e-003, 1.96012e+000
1.499898000000e-003, 1.96012e+000
1.499898500000e-003, 1.96012e+000
1.499899000000e-003, 1.96012e+000
1.499899500000e-003, 1.96012e+000
1.499900000000e-003, 1.95891e+000
1.499900500000e-003, 1.95770e+000
1.499901000000e-003, 1.96012e+000
1.499901500000e-003, 1.96012e+000
1.499902000000e-003, 1.96012e+000
1.499902500000e-003, 1.96012e+000
1.499903000000e-003, 1.96012e+000
1.499903500000e-003, 1.96012e+000
1.499904000000e-003, 1.95891e+000
1.499904500000e-003, 1.95891e+000
1.499905000000e-003, 1.95891e+000
1.499905500000e-003, 1.95891e+000
1.499906000000e-003, 1.95891e+000
1.499906500000e-003, 1.95891e+000
1.499907000000e-003, 1.96012e+000
1.499907500000e-003, 1.96012e+000
1.499908000000e-003, 1.96012e+000
1.499908500000e-003, 1.96133e+000
1.499909000000e-003, 1.96133e+000
1.499909500000e-003, 1.96133e+000
1.499910000000e-003, 1.96254e+000
1.499910500000e-003, 1.96133e+000
1.499911000000e-003, 1.96012e+000
1.499911500000e-003, 1.95891e+000
1.499912000000e-003, 1.95891e+000
1.499912500000e-003, 1.96012e+000
1.499913000000e-003, 1.96012e+000
1.499913500000e-003, 1.96133e+000
1.499914000000e-003, 1.96012e+000
1.499914500000e-003, 1.96012e+000
1.499915000000e-003, 1.96012e+000
1.499915500000e-003, 1.95891e+000
1.499916000000e-003, 1.95770e+000
1.499916500000e-003, 1.95891e+000
1.499917000000e-003, 1.95891e+000
1.499917500000e-003, 1.95891e+000
1.499918000000e-003, 1.95891e+000
1.499918500000e-003, 1.95891e+000
1.499919000000e-003, 1.96012e+000
1.499919500000e-003, 1.96254e+000
1.499920000000e-003, 1.96133e+000
1.499920500000e-003, 1.96133e+000
1.499921000000e-003, 1.96012e+000
1.499921500000e-003, 1.96012e+000
1.499922000000e-003, 1.96012e+000
1.499922500000e-003, 1.96012e+000
1.499923000000e-003, 1.96133e+000
1.499923500000e-003, 1.96012e+000
1.499924000000e-003, 1.96133e+000
1.499924500000e-003, 1.96012e+000
1.499925000000e-003, 1.96012e+000
1.499925500000e-003, 1.96012e+000
1.499926000000e-003, 1.96012e+000
1.499926500000e-003, 1.96012e+000
1.499927000000e-003, 1.96012e+000
1.499927500000e-003, 1.95891e+000
1.499928000000e-003, 1.95891e+000
1.499928500000e-003, 1.96012e+000
1.499929000000e-003, 1.96133e+000
1.499929500000e-003, 1.96133e+000
1.499930000000e-003, 1.96012e+000
1.499930500000e-003, 1.96133e+000
1.499931000000e-003, 1.96012e+000
1.499931500000e-003, 1.95891e+000
1.499932000000e-003, 1.96133e+000
1.499932500000e-003, 1.96012e+000
1.499933000000e-003, 1.96012e+000
1.499933500000e-003, 1.96133e+000
1.499934000000e-003, 1.96254e+000
1.499934500000e-003, 1.96254e+000
1.499935000000e-003, 1.96133e+000
1.499935500000e-003, 1.96133e+000
1.499936000000e-003, 1.96012e+000
1.499936500000e-003, 1.96012e+000
1.499937000000e-003, 1.95891e+000
1.499937500000e-003, 1.95891e+000
1.499938000000e-003, 1.96012e+000
1.499938500000e-003, 1.95891e+000
1.499939000000e-003, 1.96012e+000
1.499939500000e-003, 1.96012e+000
1.499940000000e-003, 1.96133e+000
1.499940500000e-003, 1.96133e+000
1.499941000000e-003, 1.96133e+000
1.499941500000e-003, 1.96133e+000
1.499942000000e-003, 1.96133e+000
1.499942500000e-003, 1.96012e+000
1.499943000000e-003, 1.96012e+000
1.499943500000e-003, 1.95891e+000
1.499944000000e-003, 1.95770e+000
1.499944500000e-003, 1.95891e+000
1.499945000000e-003, 1.96012e+000
1.499945500000e-003, 1.95891e+000
1.499946000000e-003, 1.95770e+000
1.499946500000e-003, 1.96012e+000
1.499947000000e-003, 1.95891e+000
1.499947500000e-003, 1.96012e+000
1.499948000000e-003, 1.96012e+000
1.499948500000e-003, 1.96012e+000
1.499949000000e-003, 1.96133e+000
1.499949500000e-003, 1.96133e+000
1.499950000000e-003, 1.96012e+000
1.499950500000e-003, 1.95891e+000
1.499951000000e-003, 1.95891e+000
1.499951500000e-003, 1.95891e+000
1.499952000000e-003, 1.96012e+000
1.499952500000e-003, 1.96012e+000
1.499953000000e-003, 1.96133e+000
1.499953500000e-003, 1.96012e+000
1.499954000000e-003, 1.96133e+000
1.499954500000e-003, 1.96133e+000
1.499955000000e-003, 1.96012e+000
1.499955500000e-003, 1.96133e+000
1.499956000000e-003, 1.96012e+000
1.499956500000e-003, 1.96012e+000
1.499957000000e-003, 1.96012e+000
1.499957500000e-003, 1.96012e+000
1.499958000000e-003, 1.96012e+000
1.499958500000e-003, 1.95770e+000
1.499959000000e-003, 1.95891e+000
1.499959500000e-003, 1.95891e+000
1.499960000000e-003, 1.95891e+000
1.499960500000e-003, 1.95649e+000
1.499961000000e-003, 1.95649e+000
1.499961500000e-003, 1.95528e+000
1.499962000000e-003, 1.95165e+000
1.499962500000e-003, 1.95043e+000
1.499963000000e-003, 1.94559e+000
1.499963500000e-003, 1.92864e+000
1.499964000000e-003, 1.90079e+000
1.499964500000e-003, 1.88141e+000
1.499965000000e-003, 1.85961e+000
1.499965500000e-003, 1.81360e+000
1.499966000000e-003, 1.77606e+000
1.499966500000e-003, 1.72399e+000
1.499967000000e-003, 1.65133e+000
1.499967500000e-003, 1.57141e+000
1.499968000000e-003, 1.48180e+000
1.499968500000e-003, 1.37161e+000
1.499969000000e-003, 1.25536e+000
1.499969500000e-003, 1.12821e+000
1.499970000000e-003, 9.87739e-001
1.499970500000e-003, 8.46059e-001
1.499971000000e-003, 7.03169e-001
1.499971500000e-003, 5.51802e-001
1.499972000000e-003, 4.11333e-001
1.499972500000e-003, 2.76919e-001
1.499973000000e-003, 1.55825e-001
1.499973500000e-003, 5.41062e-002
1.499974000000e-003,-2.94484e-002
1.499974500000e-003,-8.75734e-002
1.499975000000e-003,-1.20269e-001
1.499975500000e-003,-1.17847e-001
1.499976000000e-003,-8.75734e-002
1.499976500000e-003,-2.21828e-002
1.499977000000e-003, 7.46922e-002
1.499977500000e-003, 2.10317e-001
1.499978000000e-003, 3.62895e-001
1.499978500000e-003, 5.39692e-001
1.499979000000e-003, 7.39497e-001
1.499979500000e-003, 9.62309e-001
1.499980000000e-003, 1.19481e+000
1.499980500000e-003, 1.41399e+000
1.499981000000e-003, 1.64043e+000
1.499981500000e-003, 1.87536e+000
1.499982000000e-003, 2.10180e+000
1.499982500000e-003, 2.30887e+000
1.499983000000e-003, 2.49293e+000
1.499983500000e-003, 2.65278e+000
1.499984000000e-003, 2.79325e+000
1.499984500000e-003, 2.92766e+000
1.499985000000e-003, 3.01606e+000
1.499985500000e-003, 3.09477e+000
1.499986000000e-003, 3.10082e+000
1.499986500000e-003, 3.10082e+000
1.499987000000e-003, 3.10082e+000
1.499987500000e-003, 3.10082e+000
1.499988000000e-003, 3.10082e+000
1.499988500000e-003, 3.08024e+000
1.499989000000e-003, 3.02332e+000
1.499989500000e-003, 2.95309e+000
1.499990000000e-003, 2.86590e+000
1.499990500000e-003, 2.78719e+000
1.499991000000e-003, 2.68547e+000
1.499991500000e-003, 2.60071e+000
1.499992000000e-003, 2.49657e+000
1.499992500000e-003, 2.39122e+000
1.499993000000e-003, 2.29918e+000
1.499993500000e-003, 2.20715e+000
1.499994000000e-003, 2.11512e+000
1.499994500000e-003, 2.02309e+000
1.499995000000e-003, 1.93106e+000
1.499995500000e-003, 1.84145e+000
1.499996000000e-003, 1.75790e+000
1.499996500000e-003, 1.68282e+000
1.499997000000e-003, 1.61258e+000
1.499997500000e-003, 1.54235e+000
1.499998000000e-003, 1.46727e+000
1.499998500000e-003, 1.38977e+000
1.499999000000e-003, 1.31469e+000
1.499999500000e-003, 1.24082e+000
1.500000000000e-003, 1.17665e+000
1.500000500000e-003, 1.11973e+000
1.500001000000e-003, 1.06887e+000
1.500001500000e-003, 1.01922e+000
1.500002000000e-003, 9.69575e-001
1.500002500000e-003, 9.23559e-001
1.500003000000e-003, 8.78755e-001
1.500003500000e-003, 8.40005e-001
