x-axis,F1
second,Volt
9.949218750000e-004,-5.82500e-001
9.949479162500e-004,-5.82500e-001
9.949739575000e-004,-5.81250e-001
9.949999987500e-004,-5.82500e-001
9.950260400000e-004,-5.82500e-001
9.950520812500e-004,-5.81250e-001
9.950781225000e-004,-5.81250e-001
9.951041637500e-004,-5.82500e-001
9.951302050000e-004,-5.80000e-001
9.951562462500e-004,-5.81250e-001
9.951822875000e-004,-5.81250e-001
9.952083287500e-004,-5.83750e-001
9.952343700000e-004,-5.81250e-001
9.952604112500e-004,-5.82500e-001
9.952864525000e-004,-5.80000e-001
9.953124937500e-004,-5.80000e-001
9.953385350000e-004,-5.82500e-001
9.953645762500e-004,-5.82500e-001
9.953906175000e-004,-5.82500e-001
9.954166587500e-004,-5.82500e-001
9.954427000000e-004,-5.81250e-001
9.954687412500e-004,-5.82500e-001
9.954947825000e-004,-5.82500e-001
9.955208237500e-004,-5.83750e-001
9.955468650000e-004,-5.82500e-001
9.955729062500e-004,-5.82500e-001
9.955989475000e-004,-5.80000e-001
9.956249887500e-004,-5.81250e-001
9.956510300000e-004,-5.82500e-001
9.956770712500e-004,-5.80000e-001
9.957031125000e-004,-5.82500e-001
9.957291537500e-004,-5.81250e-001
9.957551950000e-004,-5.81250e-001
9.957812362500e-004,-5.82500e-001
9.958072775000e-004,-5.80000e-001
9.958333187500e-004,-5.80000e-001
9.958593600000e-004,-5.82500e-001
9.958854012500e-004,-5.80000e-001
9.959114425000e-004,-5.81250e-001
9.959374837500e-004,-5.81250e-001
9.959635250000e-004,-5.82500e-001
9.959895662500e-004,-5.81250e-001
9.960156075000e-004,-5.82500e-001
9.960416487500e-004,-5.82500e-001
9.960676900000e-004,-5.82500e-001
9.960937312500e-004,-5.81250e-001
9.961197725000e-004,-5.81250e-001
9.961458137500e-004,-5.82500e-001
9.961718550000e-004,-5.82500e-001
9.961978962500e-004,-5.82500e-001
9.962239375000e-004,-5.82500e-001
9.962499787500e-004,-5.82500e-001
9.962760200000e-004,-5.82500e-001
9.963020612500e-004,-5.82500e-001
9.963281025000e-004,-5.81250e-001
9.963541437500e-004,-5.82500e-001
9.963801850000e-004,-5.81250e-001
9.964062262500e-004,-5.82500e-001
9.964322675000e-004,-5.80000e-001
9.964583087500e-004,-5.82500e-001
9.964843500000e-004,-5.81250e-001
9.965103912500e-004,-5.81250e-001
9.965364325000e-004,-5.82500e-001
9.965624737500e-004,-5.81250e-001
9.965885150000e-004,-5.81250e-001
9.966145562500e-004,-5.81250e-001
9.966405975000e-004,-5.82500e-001
9.966666387500e-004,-5.82500e-001
9.966926800000e-004,-5.82500e-001
9.967187212500e-004,-5.81250e-001
9.967447625000e-004,-5.82500e-001
9.967708037500e-004,-5.81250e-001
9.967968450000e-004,-5.81250e-001
9.968228862500e-004,-5.81250e-001
9.968489275000e-004,-5.81250e-001
9.968749687500e-004,-5.82500e-001
9.969010100000e-004,-5.81250e-001
9.969270512500e-004,-5.82500e-001
9.969530925000e-004,-5.81250e-001
9.969791337500e-004,-5.81250e-001
9.970051750000e-004,-5.82500e-001
9.970312162500e-004,-5.82500e-001
9.970572575000e-004,-5.82500e-001
9.970832987500e-004,-5.82500e-001
