Address:	USB0::0x0957::0x1798::MY56272288::0::INSTR		Analog Channels				Function Channels		
Model:	DSO-X 2014A		Time (s)	2 (VOLT)	3 (VOLT)		Time (s)	M1	
BW	Off		-0.0006082291775	0.576604289701208	4.71977394074202		-0.0006082291775	4.13991854945198	
Inv	Off		-0.00060812501125	0.58665454084985	4.71977394074202		-0.00060812501125	4.13015292561613	
Imp	1M Ohm		-0.000608020845	0.58791082224343	4.71977394074202		-0.000608020845	4.12819980084896	
Trace Label	3		-0.00060791667875	0.575348008307628	4.71977394074202		-0.00060791667875	4.14187167421915	
Probe	10		-0.0006078125125	0.579116852488369	4.71977394074202		-0.0006078125125	4.13796542468481	
Skew	0 s		-0.00060770834625	0.585398259456269	4.71977394074202		-0.00060770834625	4.13015292561613	
			-0.00060760418	0.584141978062689	4.71977394074202		-0.00060760418	4.1321060503833	
MATH			-0.00060750001375	0.584141978062689	4.71977394074202		-0.00060750001375	4.1321060503833	
Ch 3-Ch 2			-0.0006073958475	0.58665454084985	4.70972369145602		-0.0006073958475	4.12038730178028	
Scale	1 /		-0.00060729168125	0.577860571094789	4.72479906538501		-0.00060729168125	4.14382479898632	
Offset	2.0032 		-0.000607187515	0.58665454084985	4.71977394074202		-0.000607187515	4.13015292561613	
			-0.00060708334875	0.584141978062689	4.71474881609902		-0.00060708334875	4.12819980084896	
REFERENCE WAVEFORM			-0.0006069791825	0.584141978062689	4.71977394074202		-0.0006069791825	4.1321060503833	
TRIGGER			-0.00060687501625	0.59042338503059	4.71977394074202		-0.00060687501625	4.12624667608179	
Sweep Mode	NORM		-0.00060677085	0.581629415275529	4.71977394074202		-0.00060677085	4.13405917515047	
Coup	DC		-0.00060666668375	0.58791082224343	4.71474881609902		-0.00060666668375	4.12429355131462	
Noise Rej	Off		-0.0006065625175	0.58665454084985	4.71977394074202		-0.0006065625175	4.13015292561613	
HF Rej	Off		-0.00060645835125	0.58916710363701	4.71977394074202		-0.00060645835125	4.12819980084896	
